image_id,face_idx,race,gender,age_group,race_scores,gender_scores,age_scores
2,face0,Black,Female,50-59,[0.26122642 0.7090924  0.00453175 0.0251494 ],[0.32310033 0.67689973],"[1.70753378e-09 3.55798393e-01 1.44905052e-05 4.08624231e-07
 1.11276195e-05 2.28624921e-02 5.72004914e-01 4.79164012e-02
 1.39179698e-03]"
5,face0,White,Female,50-59,[0.9234921  0.04160976 0.00704109 0.02785715],[0.39246598 0.60753405],"[4.4865878e-10 3.9837646e-01 3.9876945e-06 1.2378243e-07 4.9486985e-06
 1.4420074e-02 5.4547763e-01 4.0958058e-02 7.5867027e-04]"
21,face0,Asian,Female,50-59,[3.2055253e-01 1.7859603e-04 6.7918003e-01 8.8885790e-05],[0.29191947 0.70808053],"[2.2298668e-08 1.0370876e-03 1.0818768e-01 3.6969304e-05 2.4134917e-02
 3.2666701e-01 5.0058502e-01 3.7475422e-02 1.8758309e-03]"
23,face0,White,Female,50-59,[7.5435233e-01 2.1663960e-04 2.4465781e-01 7.7323290e-04],[0.47816572 0.5218343 ],"[9.85369013e-08 4.21786774e-03 1.08657554e-01 1.94281365e-05
 3.43918509e-04 4.13519330e-02 6.32799387e-01 1.95561171e-01
 1.70485936e-02]"
24,face0,Asian,Female,50-59,[3.5794489e-02 5.6951525e-05 9.6398705e-01 1.6152691e-04],[0.45452446 0.5454756 ],"[8.1201685e-09 1.8515445e-03 6.7969345e-02 5.5352513e-07 1.8739194e-04
 9.8937124e-02 7.2718453e-01 9.8349869e-02 5.5195871e-03]"
43,face0,White,Male,3-9,[9.7005922e-01 1.9040135e-03 2.7235607e-02 8.0109097e-04],[0.59303606 0.40696388],"[6.7971584e-08 6.0888946e-01 4.0132584e-04 7.2334201e-06 5.7344714e-05
 1.2337300e-03 1.4619906e-01 2.0451996e-01 3.8691837e-02]"
44,face0,White,Male,3-9,[0.9880812  0.00222609 0.00687087 0.00282182],[0.6112238  0.38877618],"[1.75982020e-08 5.20418644e-01 1.28386237e-04 1.66907012e-05
 1.14720744e-04 1.00653083e-03 2.90420294e-01 1.78806245e-01
 9.08851344e-03]"
45,face0,White,Male,50-59,[9.5578355e-01 9.0482476e-04 4.1389611e-02 1.9220124e-03],[0.60520995 0.39479005],"[4.6716096e-07 3.1536016e-01 2.1304556e-03 6.0596190e-05 1.0615306e-03
 1.9461462e-02 4.1292790e-01 2.2787903e-01 2.1118471e-02]"
49,face0,White,Male,60-69,[0.9623564  0.00470058 0.02861312 0.00432992],[0.5928839  0.40711612],"[6.5748713e-07 3.2920897e-01 2.2589844e-03 5.5928371e-04 2.9328770e-03
 2.7995487e-03 2.1825609e-01 3.8211095e-01 6.1872624e-02]"
73,face0,White,Female,30-39,[0.8862122  0.00117744 0.10851947 0.0040909 ],[0.22457683 0.77542317],"[7.1746368e-12 3.8679445e-06 2.2025844e-02 4.0955651e-06 6.9172919e-01
 2.8307754e-01 3.1129131e-03 4.5444467e-05 9.7754321e-07]"
84,face0,White,Female,10-19,[7.4212885e-01 1.8638886e-05 2.5748235e-01 3.7010640e-04],[0.23532249 0.7646775 ],"[2.0928258e-10 1.6427397e-05 8.1557518e-01 1.3261954e-05 6.5899459e-03
 3.2147571e-02 1.3593970e-01 9.4315819e-03 2.8639202e-04]"
85,face0,Asian,Female,10-19,[3.9520061e-01 1.9328427e-05 6.0360140e-01 1.1786566e-03],[0.26945624 0.73054373],"[8.9417978e-12 5.6912035e-07 9.2151052e-01 4.0307690e-08 7.9292899e-05
 1.1000839e-02 6.1815981e-02 5.4305848e-03 1.6219396e-04]"
86,face0,White,Female,10-19,[7.5440872e-01 1.5203502e-05 2.4533817e-01 2.3786415e-04],[0.1962028 0.8037972],"[4.7091025e-12 3.6371557e-06 4.0695098e-01 1.9393253e-06 8.8080755e-03
 2.3763120e-01 3.4158313e-01 4.9851364e-03 3.5829882e-05]"
89,face0,White,Female,10-19,[6.3773119e-01 8.0188902e-06 3.6090437e-01 1.3563980e-03],[0.2295511 0.7704489],"[8.1751784e-12 4.9845681e-07 8.8840795e-01 4.0032390e-08 1.2804024e-04
 2.0308077e-02 8.5780621e-02 5.2906806e-03 8.4194187e-05]"
131,face0,Asian,Female,50-59,[1.0954683e-02 2.8888037e-06 9.8647541e-01 2.5670275e-03],[0.29730913 0.70269084],"[3.9062828e-12 3.7925092e-06 1.4518875e-01 1.2857242e-08 8.0007070e-05
 2.1013179e-01 6.3538116e-01 9.1640772e-03 5.0418701e-05]"
144,face0,White,Female,50-59,[9.9927318e-01 1.8919849e-06 7.0273102e-04 2.2167826e-05],[0.19491227 0.8050877 ],"[2.8065367e-13 5.5301666e-07 2.5488296e-01 1.0315268e-07 1.0364663e-03
 3.6852929e-01 3.7373406e-01 1.8109718e-03 5.6068052e-06]"
