image_id,face_idx,gender,age,male_score,female_score
2,0,Male,33,75.53,78.672
73,0,Female,22,66.721,67.229
168,0,Female,22,84.304,85.467
175,0,Male,27,75.232,78.177
198,0,Female,24,68.304,68.003
242,0,Female,25,76.948,77.929
251,0,Female,23,69.071,70.962
254,0,Male,24,72.373,71.76
254,1,Female,25,75.679,77.444
256,0,Female,35,75.536,73.688
295,0,Male,31,78.207,82.035
304,0,Male,39,86.511,83.328
340,0,Female,28,76.781,81.245
347,0,Female,23,75.708,77.479
362,0,Female,11,67.675,63.922
461,0,Male,19,87.593,87.702
484,0,Female,4,59.855,59.028
488,0,Male,20,75.021,73.579
668,0,Female,30,72.157,72.304
677,0,Female,24,82.343,82.635
679,0,Female,21,83.19,85.682
872,0,Male,20,58.611,59.296
878,0,Male,20,58.611,59.303
907,0,Female,5,71.56,75.45
976,0,Male,44,63.178,60.994
991,0,Female,20,88.94,89.817
996,0,Female,20,87.541,86.427
997,0,Female,26,89.509,88.443
1042,0,Male,27,81.848,87.085
1044,0,Male,24,77.522,79.052
1050,0,Male,27,81.942,87.14
1053,0,Male,25,90.598,91.392
1077,0,Male,23,88.298,89.519
1080,0,Male,23,91.705,93.07
1087,0,Male,30,44.926,45.924
1087,1,Male,31,62.809,60.716
1087,2,Male,28,73.469,78.728
1089,0,Male,12,73.747,74.64
1109,0,Male,23,74.1,79.926
1125,0,Male,36,75.829,83.453
1201,0,Male,26,66.268,66.378
1229,0,Male,24,69.365,71.873
1229,1,Male,30,64.112,64.172
1233,0,Female,27,67.349,68.284
1233,1,Female,22,65.804,64.144
1236,0,Female,25,74.166,71.977
1263,0,Female,37,62.413,62.178
1324,0,Male,30,76.699,77.143
1326,0,Male,23,58.8,58.428
1329,0,Male,31,63.947,65.249
1336,0,Male,25,65.897,65.747
1343,0,Male,27,42.178,44.974
1348,0,Male,18,64.098,64.138
1355,0,Male,30,57.713,56.716
1384,0,Male,32,76.431,78.289
1513,0,Male,28,82.528,82.725
1518,0,Male,36,70.304,72.079
1522,0,Male,33,81.504,86.651
1523,0,Male,23,82.544,82.912
1525,0,Male,21,76.967,80.867
1526,0,Male,29,61.058,60.765
1528,0,Male,25,83.211,86.755
1538,0,Male,34,81.66,80.314
1546,0,Female,21,66.628,70.198
1559,0,Female,9,58.543,64.721
1574,0,Female,26,80.031,83.523
1575,0,Female,27,67.815,70.577
1576,0,Female,28,67.986,72.274
1577,0,Female,27,78.837,79.652
1580,0,Female,16,57.676,64.328
1667,0,Male,34,61.422,61.32
1668,0,Male,30,69.396,70.152
1669,0,Male,34,58.804,60.903
1674,0,Male,22,79.776,82.215
1674,1,Male,26,63.95,65.34
1678,0,Male,23,83.963,83.012
1851,0,Male,21,75.509,79.041
1855,0,Male,27,76.533,77.124
1861,0,Male,36,51.704,55.322
1863,0,Male,35,63.057,62.555
1872,0,Male,30,68.26,68.252
1900,0,Female,19,54.063,53.933
1905,0,Female,22,60.058,65.932
1944,0,Female,30,60.921,63.16
1965,0,Female,27,63.741,66.085
1986,0,Female,31,67.023,71.284
1986,1,Female,25,71.157,68.167
1991,0,Male,18,72.679,74.043
1991,1,Female,19,63.916,67.823
1995,0,Female,20,81.711,81.201
2040,0,Male,31,59.407,61.169
2176,0,Female,45,58.913,54.63
2180,0,Male,32,66.472,64.27
2227,0,Male,31,74.804,77.403
2227,1,Female,39,57.795,65.958
2228,0,Male,14,68.081,68.114
2228,1,Female,21,67.037,66.145
2229,0,Male,25,71.297,66.399
2229,1,Female,28,67.061,63.488
2264,0,Female,30,69.558,74.408
2264,1,Female,24,70.206,71.114
2265,0,Female,22,72.457,69.744
2267,0,Female,19,72.846,74.457
2269,0,Female,26,84.637,89.706
2269,1,Female,26,72.487,75.726
2270,0,Female,20,68.804,71.546
2270,1,Female,20,53.692,56.916
2270,2,Female,34,62.715,64.631
2270,3,Female,31,58.334,60.382
2270,4,Female,21,49.226,51.636
2314,0,Female,22,79.319,78.25
2315,0,Male,28,81.855,83.485
2315,1,Male,33,81.84,86.576
2315,2,Male,36,84.781,84.672
2328,0,Female,22,71.472,72.899
2356,0,Female,21,72.421,73.924
2357,0,Female,8,79.39,78.905
2357,1,Female,12,73.22,73.846
2364,0,Female,22,75.892,73.079
2366,0,Female,29,80.139,79.658
2370,0,Female,23,80.822,80.626
2371,0,Female,21,62.854,65.487
2372,0,Female,22,64.047,64.127
2375,0,Female,24,76.766,76.539
2393,0,Male,19,69.048,64.485
2443,0,Female,24,85.102,88.38
2443,1,Female,25,68.447,71.017
2474,0,Male,34,69.783,68.031
2577,0,Male,22,70.56,69.868
2582,0,Male,29,66.839,77.778
2663,0,Female,20,68.747,69.221
2665,0,Female,20,68.245,71.052
2671,0,Female,51,54.616,52.025
2671,1,Female,33,57.071,55.448
2672,0,Male,23,71.559,70.786
2672,1,Female,24,80.968,80.16
2674,0,Female,22,78.924,79.04
2676,0,Female,29,55.533,62.168
2677,0,Female,23,52.749,53.17
2680,0,Female,26,80.887,84.274
2683,0,Female,31,65.375,63.49
2686,0,Female,24,78.972,81.883
2687,0,Female,39,67.082,72.461
2687,1,Female,32,50.128,53.929
2690,0,Female,31,72.28,69.347
2690,1,Female,31,55.678,54.815
2693,0,Female,19,80.065,77.709
2695,0,Female,19,85.578,84.252
2700,0,Female,22,82.049,85.125
2703,0,Female,27,87.245,89.77
2705,0,Female,22,62.945,68.416
2726,0,Female,21,72.815,78.436
2729,0,Female,25,66.304,64.903
2730,0,Female,25,61.48,62.489
2737,0,Female,23,74.889,77.895
2740,0,Female,21,78.728,77.091
2752,0,Female,25,62.041,63.538
2769,0,Female,36,63.658,59.413
2773,0,Female,19,68.021,67.015
2778,0,Female,25,63.704,62.391
2806,0,Female,27,72.837,69.844
2925,0,Female,27,48.195,49.919
2970,0,Female,23,64.471,71.501
2974,0,Female,40,53.984,61.751
2990,0,Female,27,66.822,65.665
2994,0,Female,25,77.826,79.269
2996,0,Female,21,71.463,64.37
3001,0,Female,22,78.333,77.259
3003,0,Female,25,72.109,75.508
3004,0,Female,26,78.336,78.535
3006,0,Female,32,67.612,71.71
3151,0,Female,39,78.691,81.363
3162,0,Female,21,82.171,84.088
3165,0,Female,25,76.653,75.283
3167,0,Female,32,66.312,65.568
3193,0,Male,26,52.834,56.4
3219,0,Female,20,74.239,73.837
3221,0,Female,25,67.376,70.494
3221,1,Female,24,61.452,59.918
3221,2,Female,22,61.674,63.698
3224,0,Female,17,77.691,73.578
3232,0,Female,25,69.64,74.46
3232,1,Female,24,68.734,73.838
3232,2,Female,21,80.247,82.789
3232,3,Female,15,61.158,67.484
3232,4,Female,22,67.462,73.056
3247,0,Female,58,71.331,70.79
3298,0,Female,21,67.564,73.041
3299,0,Female,21,75.602,75.068
3312,0,Female,21,58.425,59.685
3313,0,Female,26,64.401,64.819
3313,1,Female,22,66.024,69.282
3316,0,Female,18,77.032,77.298
3321,0,Female,20,82.921,83.771
3340,0,Female,30,59.55,64.187
3342,0,Female,24,76.565,76.556
3344,0,Female,23,76.722,77.033
3345,0,Female,28,73.045,75.633
3346,0,Female,27,73.899,76.744
3372,0,Male,28,62.799,69.166
3376,0,Male,25,74.856,71.201
3376,1,Female,21,75.187,73.55
3466,0,Male,20,62.17,62.993
3508,0,Male,23,63.293,64.235
3508,1,Male,24,73.018,75.015
3509,0,Male,33,63.632,66.412
3510,0,Male,29,64.389,69.403
3510,1,Male,28,58.844,60.511
3510,2,Male,32,60.753,64.326
3510,3,Male,23,67.566,70.765
3525,0,Female,22,71.96,74.105
3604,0,Male,48,58.996,57.003
3641,0,Male,33,72.081,72.56
3679,0,Female,21,83.488,86.693
3745,0,Female,23,86.071,89.302
3745,1,Female,29,68.717,76.433
3746,0,Female,23,86.071,89.302
3746,1,Female,29,68.717,76.433
3761,0,Female,27,65.916,66.333
3762,0,Female,22,63.181,64.829
3763,0,Female,21,65.641,69.45
3769,0,Female,26,87.215,88.314
3769,1,Male,23,71.782,71.482
3799,0,Female,19,73.357,71.763
3805,0,Male,22,70.257,71.945
3805,1,Female,39,74.308,75.828
3806,0,Female,28,79.563,82.25
3808,0,Female,23,67.617,71.663
3812,0,Female,31,87.753,89.47
3812,1,Female,24,67.818,65.116
3813,0,Female,21,80.135,79.259
3836,0,Female,37,58.576,63.56
3904,0,Male,25,69.643,71.753
3980,0,Male,29,61.817,62.866
4003,0,Male,24,57.046,52.579
4051,0,Male,20,87.164,88.327
4051,1,Female,22,83.366,85.408
4052,0,Female,21,78.038,82.72
4053,0,Male,26,69.729,70.605
4084,0,Female,29,75.041,71.963
4088,0,Female,34,68.895,71.14
4212,0,Female,24,82.691,83.73
4229,0,Male,40,66.56,66.113
4297,0,Female,28,63.413,62.339
4318,0,Male,28,71.751,75.967
4322,0,Male,27,82.518,81.07
4360,0,Male,27,66.146,66.076
4361,0,Male,21,78.667,73.82
4436,0,Female,22,80.312,82.657
4453,0,Female,29,89.146,90.609
4542,0,Female,24,77.454,80.072
4650,0,Male,32,69.715,75.213
4655,0,Male,29,79.228,83.312
4666,0,Male,31,82.757,83.134
4671,0,Male,29,88.663,89.927
4701,0,Female,22,86.262,87.934
4707,0,Female,26,62.294,60.922
4710,0,Female,21,64.268,65.63
4711,0,Female,18,75.694,79.187
4716,0,Female,21,77.469,84.345
4719,0,Female,21,75.843,79.518
4727,0,Female,21,74.708,78.553
4741,0,Female,57,64.169,63.916
4806,0,Male,38,56.575,58.753
4838,0,Male,22,78.053,77.191
4846,0,Female,32,69.507,72.338
4848,0,Female,27,55.458,58.765
4863,0,Male,18,80.698,81.029
4865,0,Male,21,79.094,82.904
4870,0,Male,24,77.376,80.907
4872,0,Female,47,65.932,62.826
4872,1,Female,28,70.777,72.05
4872,2,Female,47,61.645,63.697
