image_id,y_true,gender,race,age_group
0,0,,,
1,0,,,
2,1,Male,White,20-29
3,1,Male,White,20-29
5,1,Male,White,20-29
6,1,,,
7,1,,,
10,0,,,
16,0,,,
21,1,Female,Asian,20-29
23,1,Female,Asian,20-29
24,1,Female,Asian,20-29
30,0,,,
31,0,,,
37,0,,,
40,1,Male,White,20-29
43,1,Male,White,20-29
44,1,Male,White,20-29
45,1,Male,White,20-29
46,1,Male,White,20-29
47,0,,,
48,0,,,
49,1,Male,White,20-29
51,1,Male,White,20-29
53,1,Male,White,20-29
55,0,,,
56,0,,,
60,0,,,
63,0,,,
73,1,Female,White,3-9
74,1,Female,White,10-19
76,0,,,
83,1,Female,White,10-19
84,1,Female,Asian,20-29
85,1,Female,Asian,20-29
86,1,Female,Asian,20-29
87,1,Female,Asian,20-29
89,1,Female,Asian,20-29
92,1,Female,Asian,20-29
93,0,,,
94,0,,,
96,1,,,
99,0,,,
100,0,,,
102,0,,,
108,0,,,
109,0,,,
110,0,,,
111,0,,,
112,1,,,
121,0,,,
131,1,Female,Asian,20-29
132,0,,,
141,1,,,
143,0,,,
144,1,Female,White,20-29
147,0,,,
151,1,Female,Asian,20-29
152,1,Female,Asian,20-29
163,0,,,
167,0,,,
168,1,Female,Asian,20-29
176,0,,,
181,0,,,
185,1,Male,Asian,20-29
203,1,,,
204,0,,,
217,0,,,
230,1,Male,White,20-29
238,0,,,
242,0,,,
251,1,Female,Asian,20-29
254,1,Female,Asian,20-29
255,0,,,
256,1,Female,Asian,20-29
258,1,Female,Asian,20-29
260,0,,,
271,1,,,
277,1,,,
283,1,,,
286,0,,,
289,0,,,
291,1,Male,Asian,20-29
295,1,Male,Asian,30-39
298,1,,,
300,0,,,
304,1,Male,Asian,30-39
308,1,Male,Asian,20-29
309,0,,,
311,0,,,
320,0,,,
325,0,,,
337,0,,,
342,1,,,
344,1,Female,White,20-29
349,0,,,
351,0,,,
354,0,,,
355,0,,,
361,1,Female,White,20-29
365,0,,,
370,0,,,
379,0,,,
414,0,,,
427,0,,,
438,0,,,
443,1,,,
473,0,,,
484,1,Female,Asian,3-9
487,1,Male,Asian,20-29
494,0,,,
497,0,,,
508,0,,,
530,0,,,
535,0,,,
543,0,,,
564,0,,,
607,0,,,
610,0,,,
633,1,,,
654,1,,,
685,0,,,
686,1,Female,White,30-39
688,1,,,
700,0,,,
721,0,,,
724,0,,,
742,0,,,
757,1,,,
766,0,,,
780,0,,,
796,0,,,
809,0,,,
890,0,,,
1001,1,,,
1002,1,,,
1109,1,Male,White,20-29
1298,0,,,
1329,1,Male,Black,20-29
1346,1,Male,Black,20-29
1356,1,Male,Black,20-29
1365,1,,,
1409,0,,,
1451,0,,,
1475,0,,,
1515,1,Male,White,30-39
1528,1,Male,Asian,20-29
1562,0,,,
1593,1,Male,White,30-39
1613,0,,,
1649,0,,,
1671,0,,,
1719,0,,,
1756,0,,,
1777,0,,,
1784,0,,,
1809,0,,,
1822,1,Female,Asian,20-29
1827,0,,,
1863,0,,,
1902,1,Female,Asian,20-29
1915,1,,,
1928,0,,,
1940,0,,,
1954,1,,,
1976,0,,,
2000,1,,,
2014,0,,,
2026,0,,,
2040,0,,,
2060,0,,,
2066,0,,,
2074,0,,,
2089,0,,,
2112,0,,,
2121,1,,,
2145,0,,,
2179,1,,,
2203,1,,,
2227,1,Male,Asian,20-29
2240,0,,,
2261,0,,,
2304,1,,,
2307,1,Female,Asian,20-29
2350,0,,,
2369,1,Female,Asian,20-29
2379,1,Male,White,30-39
2422,1,,,
2475,0,,,
2479,0,,,
2518,0,,,
2560,1,,,
2588,0,,,
2612,0,,,
2652,0,,,
2685,1,Female,Asian,20-29
2688,1,Female,Asian,20-29
2709,0,,,
2747,1,,,
2751,1,,,
2786,1,,,
2877,0,,,
3017,0,,,
3101,0,,,
3153,1,Female,Asian,20-29
3161,0,,,
3201,1,,,
3204,0,,,
3305,0,,,
3309,1,Female,Asian,20-29
3367,0,,,
3370,0,,,
3432,1,,,
3434,1,,,
3438,1,,,
3497,0,,,
3505,0,,,
3559,0,,,
3568,0,,,
3599,0,,,
3603,0,,,
3661,0,,,
3668,0,,,
3729,0,,,
3735,0,,,
3812,1,Female,Asian,20-29
